"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Mark Grudzielanek","- - -","7603",".320","91","","","0","","47.6%","23.6%","28.8%","35.8%","32.7%","31.4%","15.3%","60.6%","24.1%","77.7%","92.1%","653"
"Juan Beniquez","- - -","5151",".320","96","","","","","","","","","","","","","","","","1000833"
"Mike Lansing","- - -","4551",".319","83","","","","","","","","","","","","","","","","1007334"
"Richie Scheinblum","- - -","1392",".319","105","","","","","","","","","","","","","","","","1011541"
"Yonder Alonso","- - -","3773",".319","102","88.3","112.3","627","37.4%","42.7%","21.9%","35.4%","40.1%","34.7%","25.1%","16.2%","51.4%","32.4%","58.8%","88.4%","2530"
"Tracy Jones","- - -","1434",".319","97","","","","","","","","","","","","","","","","1006600"
"Jon Jay","- - -","4300",".319","100","85.3","106.2","307","22.3%","53.7%","24.5%","21.8%","31.5%","35.6%","33.0%","15.9%","57.4%","26.7%","64.9%","90.9%","5227"
"George Perring","- - -","1971",".319","97","","","","","","","","","","","","","","","","1010203"
"Coco Crisp","- - -","6627",".319","97","85.1","106.4","106","22.3%","44.4%","19.8%","35.8%","43.0%","32.1%","24.9%","16.5%","58.8%","24.7%","68.9%","91.8%","1572"
"Jeffrey Leonard","- - -","5476",".319","101","","","","","","","","","","","","","","","","1007535"
"Jake Powell","- - -","2767",".319","81","","","","","","","","","","","","","","","","1010489"
"Al Woods","- - -","2203",".319","91","","","","","","","","","","","","","","","","1014234"
"Michael Barrett","- - -","3873",".319","87","","","0","","45.3%","20.3%","34.4%","40.6%","29.7%","29.7%","12.9%","58.3%","28.9%","65.6%","87.6%","762"
"Robert Fick","- - -","2658",".319","93","","","0","","36.3%","22.7%","41.0%","43.3%","28.3%","28.4%","14.1%","62.0%","23.9%","85.7%","89.4%","466"
"Tim Anderson","White Sox","2382",".319","101","86.8","112.5","561","33.0%","50.7%","20.7%","28.6%","39.9%","34.6%","25.5%","18.5%","50.8%","30.7%","52.9%","84.4%","15172"
"Randy Reese","Giants","1230",".319","78","","","","","","","","","","","","","","","","1010777"
"Chris James","- - -","3294",".319","97","","","","","","","","","","","","","","","","1006347"
"Ron Swoboda","- - -","2924",".319","103","","","","","","","","","","","","","","","","1012796"
"Joe Tinker","- - -","7145",".319","96","","","","","","","","","","","","","","","","1013075"
"Ed Abbaticchio","- - -","3459",".319","99","","","","","","","","","","","","","","","","1000005"
"Tommy Dowd","- - -","5956",".319","81","","","","","","","","","","","","","","","","1003443"
"Welington Castillo","- - -","2701",".319","98","89.3","112.1","434","40.1%","42.1%","21.0%","36.9%","43.0%","35.0%","21.9%","15.8%","47.9%","36.3%","50.3%","85.7%","3256"
"Gus Mancuso","- - -","5025",".319","86","","","","","","","","","","","","","","","","1008051"
"A.J. Pierzynski","- - -","7815",".319","92","86.2","110.0","170","28.6%","45.9%","21.3%","32.8%","41.7%","31.0%","27.4%","18.0%","55.6%","26.4%","75.4%","91.3%","746"
"Mike Vail","- - -","1705",".319","95","","","","","","","","","","","","","","","","1013309"
"Johan Camargo","Braves","1155",".319","96","87.7","114.4","278","33.6%","45.8%","19.8%","34.5%","40.7%","33.7%","25.5%","19.2%","48.2%","32.5%","60.4%","82.7%","14950"
